Buffer   Non-Inverting,2,1,Schmitt Trigger,Push-Pull,32mA   32mA,1.65 V ~ 5.5 V,-40°C ~ 125°C (TA),Surface Mount,6-TSSOP   SC-88   SOT-363,SC-70-6
Buffer   Inverting,2,1,-,Push-Pull,32mA   32mA,1.65 V ~ 5.5 V,-40°C ~ 125°C (TA),Surface Mount,8-TSSOP   8-MSOP (0.118"   3.00mm Width),8-TSSOP
Buffer   Non-Inverting,3,1,Schmitt Trigger,Push-Pull,32mA   32mA,1.65 V ~ 5.5 V,-40°C ~ 125°C (TA),Surface Mount,8-LSSOP   8-MSOP (0.110"   2.80mm Width),SM8 (SSOP)
Buffer   Non-Inverting,3,1,-,Push-Pull,32mA   32mA,1.65 V ~ 5.5 V,-40°C ~ 125°C (TA),Surface Mount,8-TSSOP   8-MSOP (0.118"   3.00mm Width),8-TSSOP
Buffer   Non-Inverting,4,4,-,Push-Pull,12mA   12mA,1.2 V ~ 3.6 V,-40°C ~ 125°C (TA),Surface Mount,48-TFSOP (0.240"   6.10mm Width),48-TSSOP
Transceiver   Non-Inverting,2,8,-,Push-Pull,24mA   24mA,1.65 V ~ 3.6 V,-40°C ~ 125°C (TA),Surface Mount,48-TFSOP (0.240"   6.10mm Width),48-TSSOP
Buffer   Non-Inverting,4,4,-,Push-Pull,12mA   12mA,2.7 V ~ 3.6 V,-40°C ~ 85°C (TA),Surface Mount,48-TFSOP (0.240"   6.10mm Width),48-TSSOP
Buffer   Non-Inverting,4,4,-,Push-Pull,32mA   64mA,2.7 V ~ 3.6 V,-40°C ~ 85°C (TA),Surface Mount,48-BSSOP (0.295"   7.50mm Width),48-SSOP
Transceiver   Non-Inverting,2,8,-,Push-Pull,32mA   64mA,2.7 V ~ 3.6 V,-40°C ~ 85°C (TA),Surface Mount,48-TFSOP (0.240"   6.10mm Width),48-TSSOP
Transceiver   Non-Inverting,2,8,-,Push-Pull,32mA   64mA,2.7 V ~ 3.6 V,-40°C ~ 85°C (TA),Surface Mount,48-BSSOP (0.295"   7.50mm Width),48-SSOP
Buffer   Non-Inverting,2,4,-,Push-Pull,32mA   64mA,2.7 V ~ 3.6 V,-40°C ~ 85°C (TA),Surface Mount,20-TSSOP (0.173"   4.40mm Width),20-TSSOP
Buffer   Non-Inverting,4,1,-,Push-Pull,32mA   64mA,2.7 V ~ 3.6 V,-40°C ~ 85°C (TA),Surface Mount,14-SOIC (0.154"   3.90mm Width),14-SO
Buffer   Non-Inverting,4,1,-,Push-Pull,32mA   64mA,2.7 V ~ 3.6 V,-40°C ~ 85°C (TA),Surface Mount,14-TSSOP (0.173"   4.40mm Width),14-TSSOP
Transceiver   Non-Inverting,2,8,-,Push-Pull,32mA   64mA,2.7 V ~ 3.6 V,-40°C ~ 85°C (TA),Surface Mount,56-TFSOP (0.240"   6.10mm Width),56-TSSOP
Buffer   Non-Inverting,2,4,-,Push-Pull,32mA   64mA,2.7 V ~ 3.6 V,-40°C ~ 85°C (TA),Surface Mount,20-SOIC (0.295"   7.50mm Width),20-SOIC
