https://media.digikey.com/Renders/On%20Semi%20Renders/TO-92-3(StandardBody)  TO-226_bentlead_tmb.jpg,https://media.digikey.com/pdf/Data%20Sheets/Sharp%20PDFs/PQ0(33  50)ES3MXP.pdf,PQ033ES3MXPQ-ND,PQ033ES3MXPQ,Sharp Microelectronics,IC REG LINEAR 3.3V 300MA TO92-3,0,Obsolete,-,Tape & Box (TB),-,Obsolete
https://media.digikey.com/Renders/Analog%20Devices%20Renders/RM-8_tmb.jpg,http://www.analog.com/media/en/technical-documentation/data-sheets/ADP3334.pdf,ADP3334ARMZ-REEL7TR-ND,ADP3334ARMZ-REEL7,Analog Devices Inc.,IC REG LIN POS ADJ 500MA 8MSOP,5  000 - Immediate  27  000 - Factory Stock,$1.30500,1  000,Tape & Reel (TR)  Alternate Packaging,anyCAP®,Active
https://media.digikey.com/Renders/Analog%20Devices%20Renders/8SOIC_tmb.jpg,http://www.analog.com/media/en/technical-documentation/data-sheets/ADP3334.pdf,ADP3334ARZ-REELTR-ND,ADP3334ARZ-REEL,Analog Devices Inc.,IC REG LIN POS ADJ 500MA 8SOIC,5  000 - Immediate  2  500 - Factory Stock,$1.21500,2  500,Tape & Reel (TR)  Alternate Packaging,anyCAP®,Active
https://media.digikey.com/Renders/Analog%20Devices%20Renders/505;KC-3;KC;3_tmb.jpg,http://www.analog.com/media/en/technical-documentation/data-sheets/ADP3338.pdf,ADP3338AKCZ-1.8-R7TR-ND,ADP3338AKCZ-1.8-R7,Analog Devices Inc.,IC REG LINEAR 1.8V 1A SOT223-3,1  500 - Immediate  3  000 - Factory Stock,$1.89240,500,Tape & Reel (TR)  Alternate Packaging,anyCAP®,Active
https://media.digikey.com/Renders/Analog%20Devices%20Renders/505;KC-3;KC;3_tmb.jpg,http://www.analog.com/media/en/technical-documentation/data-sheets/ADP3338.pdf,ADP3338AKCZ-2.5-RLTR-ND,ADP3338AKCZ-2.5-RL,Analog Devices Inc.,IC REG LINEAR 2.5V 1A SOT223-3,0  Standard Lead Time 14 Weeks,$1.51620,2  500,Tape & Reel (TR)  Alternate Packaging,anyCAP®,Active
https://media.digikey.com/Renders/Analog%20Devices%20Renders/505;KC-3;KC;3_tmb.jpg,http://www.analog.com/media/en/technical-documentation/data-sheets/ADP3338.pdf,ADP3338AKCZ-3.3-RLTR-ND,ADP3338AKCZ-3.3-RL,Analog Devices Inc.,IC REG LINEAR 3.3V 1A SOT223-3,0,$1.51620,2  500,Tape & Reel (TR)  Alternate Packaging,anyCAP®,Active
https://media.digikey.com/Renders/Analog%20Devices%20Renders/8SOIC_tmb.jpg,http://www.analog.com/media/en/technical-documentation/data-sheets/ADP667.pdf,ADP667ARZ-REEL7TR-ND,ADP667ARZ-REEL7,Analog Devices Inc.,IC REG LIN POS ADJ 250MA 8SOIC,1  000 - Immediate,$2.64600,1  000  Non-Stock,Tape & Reel (TR)  Alternate Packaging,-,Active
https://media.digikey.com/Renders/Analog%20Devices%20Renders/505;RD-8-2;RD;8_tmb.jpg,http://www.analog.com/media/en/technical-documentation/data-sheets/ADP7104.pdf,ADP7104ARDZ-5.0-R7TR-ND,ADP7104ARDZ-5.0-R7,Analog Devices Inc.,IC REG LINEAR 5V 500MA 8SOIC,1  000 - Immediate  8  000 - Factory Stock,$2.54800,1  000,Tape & Reel (TR)  Alternate Packaging,-,Active
https://media.digikey.com/Renders/Diodes%20Renders/8-SOIC_tmb.jpg,https://www.diodes.com/assets/Datasheets/AP1120.pdf,AP1120SBLDITR-ND,AP1120SBL-13,Diodes Incorporated,IC REG LIN 1.8V/3.3V 1A/1A 8SOP,0,Obsolete,-,Tape & Reel (TR),-,Obsolete
https://media.digikey.com/Renders/Diodes%20Renders/TO-236-3  %20SC-59  %20SOT-23-3_tmb.jpg,https://www.diodes.com/assets/Datasheets/AP130.pdf,AP130-18RGDITR-ND,AP130-18RG-7,Diodes Incorporated,IC REG LINEAR 1.8V 300MA SC59R,0,Discontinued at Digi-Key,-,Tape & Reel (TR)  Alternate Packaging,-,Discontinued at Digi-Key
https://media.digikey.com/Renders/Diodes%20Renders/SOT25_tmb.jpg,https://www.diodes.com/assets/Datasheets/AP2112.pdf,AP2112K-3.3TRG1DITR-ND,AP2112K-3.3TRG1,Diodes Incorporated,IC REG LINEAR 3.3V 600MA SOT25,177  000 - Immediate,$0.10368,3  000,Tape & Reel (TR)  Alternate Packaging,-,Active
