12,2,35ns (Typ),Current - Unbuffered,Yes,Parallel,External   Internal,3 V ~ 5.5 V,2.7 V ~ 5.5 V,±0.4   ±0.3,Current Source,-40°C ~ 85°C,48-LQFP,48-LQFP (7x7)
14,2,35ns (Typ),Current - Unbuffered,Yes,Parallel,External   Internal,3 V ~ 5.5 V,2.7 V ~ 5.5 V,±1.5   ±1.0,Current Source,-40°C ~ 85°C,48-LQFP,48-LQFP (7x7)
14,2,11ns (Typ),Current - Unbuffered,Yes,Parallel,External   Internal,3.1 V ~ 3.5 V,3.1 V ~ 3.5 V,±1.5   ±1,Oversampling Interpolating DAC,-40°C ~ 85°C,80-TQFP Exposed Pad,80-TQFP-EP (12x12)
14,2,11ns (Typ),Current - Unbuffered,Yes,Parallel,External   Internal,3.1 V ~ 3.5 V,3.1 V ~ 3.5 V,±1.5   ±1,Oversampling Interpolating DAC,-40°C ~ 85°C,80-TQFP Exposed Pad,80-TQFP-EP (12x12)
16,2,-,Current - Unbuffered,Yes,Parallel,Internal,3.13 V ~ 3.47 V,1.7 V ~ 1.9 V   3.13 V ~ 3.47 V,±3.7   ±2.1,Oversampling Interpolating DAC,-40°C ~ 85°C,100-TQFP Exposed Pad,100-TQFP-EP (14x14)
10,3,-,Current - Unbuffered,Yes,Parallel,External   Internal,3 V ~ 3.6 V   5V,3 V ~ 3.6 V   5V,±0.5   ±0.25,Current Source,-40°C ~ 85°C,48-LQFP,48-LQFP (7x7)
8,3,-,Current - Unbuffered,Yes,Parallel,External   Internal,3 V ~ 3.6 V   5V,3 V ~ 3.6 V   5V,±0.5   ±0.25,Current Source,-40°C ~ 85°C,48-LQFP,48-LQFP (7x7)
24,2,-,Voltage - Unbuffered,No,I²S,Internal,5V,5V,-,Sigma-Delta,-40°C ~ 85°C,8-SOIC (0.154"   3.90mm Width),8-SOIC
24,2,-,Voltage - Unbuffered,No,I²S,Internal,5V,5V,-,Sigma-Delta,-10°C ~ 70°C,8-SOIC (0.154"   3.90mm Width),8-SOIC
24,2,-,Voltage - Unbuffered,No,I²S,Internal,5V,5V,-,Sigma-Delta,-10°C ~ 70°C,8-SOIC (0.154"   3.90mm Width),8-SOIC
8,1,150µs,Current - Unbuffered,Yes,Parallel,External,±4.5 V ~ 18 V,-,-,Multiplying DAC,0°C ~ 70°C,16-SOIC (0.154"   3.90mm Width),16-SOIC
