NAND Gate,1,2,-,2 V ~ 6 V,20µA,2.6mA   2.6mA,0.5 V ~ 1.8 V,1.5 V ~ 4.2 V,23ns @ 6V   50pF,-40°C ~ 125°C,Surface Mount,5-TSOP,SC-74A   SOT-753
Inverter,1,1,Schmitt Trigger,2 V ~ 6 V,20µA,2.6mA   2.6mA,0.3 V ~ 1.2 V,1.5 V ~ 4.2 V,32ns @ 6V   50pF,-40°C ~ 125°C,Surface Mount,5-TSSOP,5-TSSOP   SC-70-5   SOT-353
AND Gate,2,4,-,2 V ~ 6 V,2µA,5.2mA   5.2mA,0.5 V ~ 1.8 V,1.5 V ~ 4.2 V,19ns @ 6V   50pF,-40°C ~ 125°C,Surface Mount,14-SO,14-SOIC (0.154"   3.90mm Width)
Inverter,2,2,Schmitt Trigger,2 V ~ 6 V,1µA,5.2mA   5.2mA,0.3 V ~ 1.2 V,1.5 V ~ 4.2 V,21ns @ 6V   50pF,-40°C ~ 125°C,Surface Mount,6-TSSOP,6-TSSOP   SC-88   SOT-363
NAND Gate,1,8,-,2 V ~ 6 V,2µA,5.2mA   5.2mA,0.5 V ~ 1.8 V,1.5 V ~ 4.2 V,22ns @ 6V   50pF,-55°C ~ 125°C,Surface Mount,14-TSSOP,14-TSSOP (0.173"   4.40mm Width)
OR Gate,4,2,-,2 V ~ 6 V,2µA,5.2mA   5.2mA,0.5 V ~ 1.8 V,1.5 V ~ 4.2 V,17ns @ 6V   50pF,-40°C ~ 85°C,Surface Mount,14-TSSOP,14-TSSOP (0.173"   4.40mm Width)
Inverter,3,3,-,2 V ~ 6 V,1µA,5.2mA   5.2mA,0.5 V ~ 1.8 V,1.5 V ~ 4.2 V,13ns @ 6V   50pF,-40°C ~ 125°C,Surface Mount,8-TSSOP,8-TSSOP   8-MSOP (0.118"   3.00mm Width)
XNOR (Exclusive NOR),4,2,-,2 V ~ 6 V,1µA,5.2mA   5.2mA,0.5 V ~ 1.8 V,1.5 V ~ 4.2 V,15ns @ 6V   50pF,-55°C ~ 125°C,Surface Mount,14-SO,14-SOIC (0.154"   3.90mm Width)
XNOR (Exclusive NOR),4,2,-,2 V ~ 6 V,1µA,5.2mA   5.2mA,0.5 V ~ 1.8 V,1.5 V ~ 4.2 V,15ns @ 6V   50pF,-55°C ~ 125°C,Surface Mount,14-SO,14-SOIC (0.154"   3.90mm Width)
XNOR (Exclusive NOR),4,2,-,2 V ~ 6 V,2µA,5.2mA   5.2mA,0.5 V ~ 1.8 V,1.5 V ~ 4.2 V,20ns @ 6V   50pF,-40°C ~ 125°C,Surface Mount,14-SO,14-SOIC (0.154"   3.90mm Width)
