Non-Volatile,EEPROM,EEPROM,1Kb (256 x 4),-,-,2µs,1-Wire®,-,-40°C ~ 85°C (TA),Surface Mount,6-WFBGA   CSPBGA,6-UCSPR (1.68x1.68)
Non-Volatile,EEPROM,EEPROM,1Kb (256 x 4),-,-,2µs,1-Wire®,-,-40°C ~ 85°C (TA),Surface Mount,6-LSOJ (0.148"   3.76mm Width),6-TSOC
Non-Volatile,EPROM,EPROM - OTP,1Kb (1K x 1),-,-,15µs,1-Wire®,-,-40°C ~ 85°C (TA),Through Hole,TO-226-3   TO-92-3 (TO-226AA),TO-92-3
Non-Volatile,FRAM,FRAM (Ferroelectric RAM),256Kb (32K x 8),-,130ns,-,Parallel,4.5 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,28-SOIC (0.295"   7.50mm Width),28-SOIC
Non-Volatile,FRAM,FRAM (Ferroelectric RAM),4Mb (256K x 16),-,110ns,110ns,Parallel,2.7 V ~ 3.6 V,-40°C ~ 85°C (TA),Surface Mount,44-TSOP (0.400"   10.16mm Width),44-TSOP II
Non-Volatile,FRAM,FRAM (Ferroelectric RAM),16Kb (2K x 8),1MHz,-,550ns,I²C,4.5 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Non-Volatile,FRAM,FRAM (Ferroelectric RAM),64Kb (8K x 8),1MHz,-,550ns,I²C,3 V ~ 3.6 V,-40°C ~ 125°C (TA),Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Non-Volatile,FRAM,FRAM (Ferroelectric RAM),256Kb (32K x 8),3.4MHz,-,130ns,I²C,2 V ~ 3.6 V,-40°C ~ 85°C (TA),Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Non-Volatile,FRAM,FRAM (Ferroelectric RAM),256Kb (32K x 8),3.4MHz,-,130ns,I²C,2 V ~ 3.6 V,-40°C ~ 85°C (TA),Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Non-Volatile,FRAM,FRAM (Ferroelectric RAM),256Kb (32K x 8),3.4MHz,-,130ns,I²C,2 V ~ 3.6 V,-40°C ~ 85°C (TA),Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Non-Volatile,FRAM,FRAM (Ferroelectric RAM),256Kb (32K x 8),1MHz,-,550ns,I²C,2.7 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
