Negative,Fixed,1,-35V,-5V,-,1.4V @ 1A (Typ),1.5A,3mA,-,60dB (120Hz),-,Over Temperature   Short Circuit,0°C ~ 125°C,Surface Mount,TO-263-3   D²Pak (2 Leads + Tab)   TO-263AB,D2PAK
Negative,Fixed,1,-30V,-5V,-,-,100mA,5.5mA,6mA,49dB (120Hz),-,Over Temperature   Short Circuit,0°C ~ 125°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SO
Negative,Fixed,1,-30V,-5V,-,-,100mA,5.5mA,6mA,49dB (120Hz),-,Over Temperature   Short Circuit,0°C ~ 125°C,Surface Mount,TO-243AA,SOT-89-3
Positive,Adjustable,1,30V,1.25V,28.5V,1.5V @ 5A,5A,10mA,-,72dB (120Hz),-,Over Temperature   Short Circuit,-40°C ~ 125°C,Through Hole,TO-220-3,TO-220AB
Positive,Fixed,1,30V,3.3V,-,1.5V @ 1.5A,1.5A,10mA,-,79dB (120Hz),-,Over Current   Over Temperature,-40°C ~ 125°C,Surface Mount,TO-263-4   D²Pak (3 Leads + Tab)   TO-263AA,D2PAK-3
Positive,Fixed,1,30V,3.3V,-,1.5V @ 1.5A,1.5A,10mA,-,79dB (120Hz),-,Over Current   Over Temperature,-40°C ~ 125°C,Surface Mount,TO-263-3   D²Pak (2 Leads + Tab)   TO-263AB,D2PAK
Positive,Fixed,1,30V,1.8V,-,1.5V @ 1.5A,1.5A,10mA,-,82dB (120Hz),-,Over Current   Over Temperature,-40°C ~ 125°C,Surface Mount,TO-252-3   DPak (2 Leads + Tab)   SC-63,D-Pak
Positive,Fixed,1,30V,2.5V,-,1.5V @ 1.5A,1.5A,10mA,-,81dB (120Hz),-,Over Current   Over Temperature,-40°C ~ 125°C,Surface Mount,TO-252-3   DPak (2 Leads + Tab)   SC-63,D-Pak
Positive,Fixed,1,30V,3.3V,-,1.5V @ 1.5A,1.5A,10mA,-,79dB (120Hz),-,Over Current   Over Temperature,-40°C ~ 125°C,Surface Mount,TO-252-3   DPak (2 Leads + Tab)   SC-63,D-Pak
Positive,Adjustable,1,30V,1.25V,28.5V,1.5V @ 1.5A,1.5A,10mA,-,88dB (120Hz),-,Over Current   Over Temperature,-40°C ~ 125°C,Surface Mount,TO-252-3   DPak (2 Leads + Tab)   SC-63,D-Pak
